FOLIO_I,FOLIO_INT,id_tortillas,tortillas,pa1_t,pa4_t,maquina2,completa,ponde_f,estrato,est_sel,upm,region,x_region
01001019,01001019_03,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ361,1,34505.1295320771,3,13,0100100010341,4,5
01001019,01001019_03,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ361,1,34505.1295320771,3,13,0100100010341,4,5
01001019,01001019_03,160,Tortillas de maiz de masa (comprada) o de tortillería,7,5,MQ361,1,34505.1295320771,3,13,0100100010341,4,5
01001019,01001019_03,161,Tortillas de harina de trigo,9, ,MQ361,1,34505.1295320771,3,13,0100100010341,4,5
01001021,01001021_02,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ361,1,18711.5854826957,3,13,0100100010341,4,5
01001021,01001021_02,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ361,1,18711.5854826957,3,13,0100100010341,4,5
01001021,01001021_02,160,Tortillas de maiz de masa (comprada) o de tortillería,7,5,MQ361,1,18711.5854826957,3,13,0100100010341,4,5
01001021,01001021_02,161,Tortillas de harina de trigo,9, ,MQ361,1,18711.5854826957,3,13,0100100010341,4,5
01001030,01001030_03,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ344,1,43857.6327536072,3,13,0100100010341,4,5
01001030,01001030_03,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ344,1,43857.6327536072,3,13,0100100010341,4,5
01001030,01001030_03,160,Tortillas de maiz de masa (comprada) o de tortillería,2,2,MQ344,1,43857.6327536072,3,13,0100100010341,4,5
01001030,01001030_03,161,Tortillas de harina de trigo,1,4,MQ344,1,43857.6327536072,3,13,0100100010341,4,5
01001031,01001031_02,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ344,1,27869.9441290295,3,13,0100100010341,4,5
01001031,01001031_02,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ344,1,27869.9441290295,3,13,0100100010341,4,5
01001031,01001031_02,160,Tortillas de maiz de masa (comprada) o de tortillería,7,12,MQ344,1,27869.9441290295,3,13,0100100010341,4,5
01001031,01001031_02,161,Tortillas de harina de trigo,9, ,MQ344,1,27869.9441290295,3,13,0100100010341,4,5
01001101,01001101_04,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ361,1,10182.0630198249,3,13,0100100012507,4,5
01001101,01001101_04,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ361,1,10182.0630198249,3,13,0100100012507,4,5
01001101,01001101_04,160,Tortillas de maiz de masa (comprada) o de tortillería,7,5,MQ361,1,10182.0630198249,3,13,0100100012507,4,5
01001101,01001101_04,161,Tortillas de harina de trigo,9, ,MQ361,1,10182.0630198249,3,13,0100100012507,4,5
01001105,01001105_03,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ361,1,24336.1955481825,3,13,0100100012507,4,5
01001105,01001105_03,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ361,1,24336.1955481825,3,13,0100100012507,4,5
01001105,01001105_03,160,Tortillas de maiz de masa (comprada) o de tortillería,7,7,MQ361,1,24336.1955481825,3,13,0100100012507,4,5
01001105,01001105_03,161,Tortillas de harina de trigo,9, ,MQ361,1,24336.1955481825,3,13,0100100012507,4,5
01001108,01001108_01,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ361,1,25238.1908714858,3,13,0100100012507,4,5
01001108,01001108_01,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ361,1,25238.1908714858,3,13,0100100012507,4,5
01001108,01001108_01,160,Tortillas de maiz de masa (comprada) o de tortillería,7,30,MQ361,1,25238.1908714858,3,13,0100100012507,4,5
01001108,01001108_01,161,Tortillas de harina de trigo,9, ,MQ361,1,25238.1908714858,3,13,0100100012507,4,5
01001121,01001121_02,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ344,1,17312.3342314307,3,13,0100100012507,4,5
01001121,01001121_02,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ344,1,17312.3342314307,3,13,0100100012507,4,5
01001121,01001121_02,160,Tortillas de maiz de masa (comprada) o de tortillería,7,18,MQ344,1,17312.3342314307,3,13,0100100012507,4,5
01001121,01001121_02,161,Tortillas de harina de trigo,9, ,MQ344,1,17312.3342314307,3,13,0100100012507,4,5
01001237,01001237_01,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ344,1,91516.0537548723,3,13,0100100013717,4,5
01001237,01001237_01,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ344,1,91516.0537548723,3,13,0100100013717,4,5
01001237,01001237_01,160,Tortillas de maiz de masa (comprada) o de tortillería,7,10,MQ344,1,91516.0537548723,3,13,0100100013717,4,5
01001237,01001237_01,161,Tortillas de harina de trigo,9, ,MQ344,1,91516.0537548723,3,13,0100100013717,4,5
01001238,01001238_03,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ344,1,80578.5741885396,3,13,0100100013717,4,5
01001238,01001238_03,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ344,1,80578.5741885396,3,13,0100100013717,4,5
01001238,01001238_03,160,Tortillas de maiz de masa (comprada) o de tortillería,7,10,MQ344,1,80578.5741885396,3,13,0100100013717,4,5
01001238,01001238_03,161,Tortillas de harina de trigo,9, ,MQ344,1,80578.5741885396,3,13,0100100013717,4,5
01001323,01001323_04,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ344,1,51209.543369446,1,11,0100100001068,4,5
01001323,01001323_04,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ344,1,51209.543369446,1,11,0100100001068,4,5
01001323,01001323_04,160,Tortillas de maiz de masa (comprada) o de tortillería,7,4,MQ344,1,51209.543369446,1,11,0100100001068,4,5
01001323,01001323_04,161,Tortillas de harina de trigo,9, ,MQ344,1,51209.543369446,1,11,0100100001068,4,5
01001336,01001336_01,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ337,1,48582.2043235361,1,11,0100100001068,4,5
01001336,01001336_01,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ337,1,48582.2043235361,1,11,0100100001068,4,5
01001336,01001336_01,160,Tortillas de maiz de masa (comprada) o de tortillería,7,15,MQ337,1,48582.2043235361,1,11,0100100001068,4,5
01001336,01001336_01,161,Tortillas de harina de trigo,1,2,MQ337,1,48582.2043235361,1,11,0100100001068,4,5
01001341,01001341_03,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ337,1,62730.6468012424,1,11,0100100001068,4,5
01001341,01001341_03,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ337,1,62730.6468012424,1,11,0100100001068,4,5
01001341,01001341_03,160,Tortillas de maiz de masa (comprada) o de tortillería,7,6,MQ337,1,62730.6468012424,1,11,0100100001068,4,5
01001341,01001341_03,161,Tortillas de harina de trigo,9, ,MQ337,1,62730.6468012424,1,11,0100100001068,4,5
01001342,01001342_02,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ337,1,12141.2985357833,1,11,0100100001068,4,5
01001342,01001342_02,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ337,1,12141.2985357833,1,11,0100100001068,4,5
01001342,01001342_02,160,Tortillas de maiz de masa (comprada) o de tortillería,7,7,MQ337,1,12141.2985357833,1,11,0100100001068,4,5
01001342,01001342_02,161,Tortillas de harina de trigo,1,2,MQ337,1,12141.2985357833,1,11,0100100001068,4,5
01002010,01002010_01,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ361,1,27988.6164475288,2,12,0100200250404,4,5
01002010,01002010_01,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ361,1,27988.6164475288,2,12,0100200250404,4,5
01002010,01002010_01,160,Tortillas de maiz de masa (comprada) o de tortillería,7,24,MQ361,1,27988.6164475288,2,12,0100200250404,4,5
01002010,01002010_01,161,Tortillas de harina de trigo,9, ,MQ361,1,27988.6164475288,2,12,0100200250404,4,5
01002010,01002010_05,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ361,1,28675.9723521185,2,12,0100200250404,4,5
01002010,01002010_05,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ361,1,28675.9723521185,2,12,0100200250404,4,5
01002010,01002010_05,160,Tortillas de maiz de masa (comprada) o de tortillería,7,3,MQ361,1,28675.9723521185,2,12,0100200250404,4,5
01002010,01002010_05,161,Tortillas de harina de trigo,9, ,MQ361,1,28675.9723521185,2,12,0100200250404,4,5
02001003,02001003_03,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ245,1,83652.0601829348,3,23,0200100010488,1,1
02001003,02001003_03,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ245,1,83652.0601829348,3,23,0200100010488,1,1
02001003,02001003_03,160,Tortillas de maiz de masa (comprada) o de tortillería,4,6,MQ245,1,83652.0601829348,3,23,0200100010488,1,1
02001003,02001003_03,161,Tortillas de harina de trigo,1,4,MQ245,1,83652.0601829348,3,23,0200100010488,1,1
02001004,02001004_01,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ245,1,137056.656515372,3,23,0200100010488,1,1
02001004,02001004_01,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ245,1,137056.656515372,3,23,0200100010488,1,1
02001004,02001004_01,160,Tortillas de maiz de masa (comprada) o de tortillería,7,3,MQ245,1,137056.656515372,3,23,0200100010488,1,1
02001004,02001004_01,161,Tortillas de harina de trigo,1,1,MQ245,1,137056.656515372,3,23,0200100010488,1,1
02001018,02001018_01,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ343,1,130403.83962325,3,23,0200100010488,1,1
02001018,02001018_01,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ343,1,130403.83962325,3,23,0200100010488,1,1
02001018,02001018_01,160,Tortillas de maiz de masa (comprada) o de tortillería,4,7,MQ343,1,130403.83962325,3,23,0200100010488,1,1
02001018,02001018_01,161,Tortillas de harina de trigo,9, ,MQ343,1,130403.83962325,3,23,0200100010488,1,1
02001027,02001027_02,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ343,1,137056.656515372,3,23,0200100010488,1,1
02001027,02001027_02,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ343,1,137056.656515372,3,23,0200100010488,1,1
02001027,02001027_02,160,Tortillas de maiz de masa (comprada) o de tortillería,7,2,MQ343,1,137056.656515372,3,23,0200100010488,1,1
02001027,02001027_02,161,Tortillas de harina de trigo,9, ,MQ343,1,137056.656515372,3,23,0200100010488,1,1
02002041,02002041_03,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ338,1,168416.83400348,3,23,020020001597A,1,1
02002041,02002041_03,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ338,1,168416.83400348,3,23,020020001597A,1,1
02002041,02002041_03,160,Tortillas de maiz de masa (comprada) o de tortillería,7,4,MQ338,1,168416.83400348,3,23,020020001597A,1,1
02002041,02002041_03,161,Tortillas de harina de trigo,9, ,MQ338,1,168416.83400348,3,23,020020001597A,1,1
02002048,02002048_03,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,MQ245,1,41430.2828628764,3,23,020020001597A,1,1
02002048,02002048_03,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,MQ245,1,41430.2828628764,3,23,020020001597A,1,1
02002048,02002048_03,160,Tortillas de maiz de masa (comprada) o de tortillería,4,3,MQ245,1,41430.2828628764,3,23,020020001597A,1,1
02002048,02002048_03,161,Tortillas de harina de trigo,1,1,MQ245,1,41430.2828628764,3,23,020020001597A,1,1
